2026-07-22 15:00:59 | INFO | ingestion.retriever | Distance Score: 0.9451 | Source: 01_Leave_and_Attendance_Policy.pdf
2026-07-22 15:00:59 | INFO | ingestion.retriever | Score: 0.9451 | Threshold Passed: True
2026-07-22 15:00:59 | INFO | ingestion.retriever | Distance Score: 1.0058 | Source: 01_Leave_and_Attendance_Policy.pdf
2026-07-22 15:00:59 | INFO | ingestion.retriever | Score: 1.0058 | Threshold Passed: True
2026-07-22 15:00:59 | INFO | ingestion.retriever | Distance Score: 1.0587 | Source: 02_Remote_and_Hybrid_Work_Policy.pdf
2026-07-22 15:00:59 | INFO | ingestion.retriever | Score: 1.0587 | Threshold Passed: True
2026-07-22 15:00:59 | INFO | ingestion.retriever | Distance Score: 1.0780 | Source: 03_Code_of_Conduct.pdf
2026-07-22 15:00:59 | INFO | ingestion.retriever | Score: 1.0780 | Threshold Passed: True
2026-07-22 15:00:59 | INFO | ingestion.retriever | Distance Score: 1.1042 | Source: 01_Leave_and_Attendance_Policy.pdf
2026-07-22 15:00:59 | INFO | ingestion.retriever | Score: 1.1042 | Threshold Passed: True
2026-07-22 15:00:59 | INFO | ingestion.retriever | 5 chunks passed grounding threshold.
2026-07-22 15:00:59 | INFO | tools.retriever_tool | 5 relevant chunk(s) retrieved.
2026-07-22 15:00:59 | INFO | tools.retriever_tool | Chunk 1 | 01_Leave_and_Attendance_Policy.pdf | Page 1 | Score 0.9451
2026-07-22 15:01:00 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-22 15:01:28 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 400 Bad Request"
2026-07-22 15:01:28 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 400 Bad Request"
2026-07-22 15:09:11 | INFO | agents.policy_agent | Initializing Policy Agent...
2026-07-22 15:09:11 | INFO | agents.policy_agent | Policy Agent initialized successfully.
